tad,genelist
11|chr1|10500000|11000000,PEX14|Ensembl:ENSG00000142655|HGNC:PEX14;CASZ1|Ensembl:ENSG00000130940|HGNC:CASZ1;C1orf127|Ensembl:ENSG00000175262|HGNC:C1orf127
12|chr1|11000000|12050000,TARDBP|Ensembl:ENSG00000120948|HGNC:TARDBP;MASP2|Ensembl:ENSG00000009724|HGNC:MASP2;SRM|Ensembl:ENSG00000116649|HGNC:SRM;EXOSC10|Ensembl:ENSG00000171824|HGNC:EXOSC10;MTOR|Ensembl:ENSG00000198793|HGNC:MTOR;ANGPTL7|Ensembl:ENSG00000171819|HGNC:ANGPTL7;UBIAD1|Ensembl:ENSG00000120942|HGNC:UBIAD1;DISP3|Ensembl:ENSG00000204624|HGNC:DISP3;FBXO2|Ensembl:ENSG00000116661|HGNC:FBXO2;FBXO44|Ensembl:ENSG00000132879|HGNC:FBXO44;FBXO6|Ensembl:ENSG00000116663|HGNC:FBXO6;MAD2L2|Ensembl:ENSG00000116670|HGNC:MAD2L2;DRAXIN|Ensembl:ENSG00000162490|HGNC:DRAXIN;AGTRAP|Ensembl:ENSG00000177674|HGNC:AGTRAP;C1orf167|Ensembl:ENSG00000215910|HGNC:C1orf167;MTHFR|Ensembl:ENSG00000177000|HGNC:MTHFR;CLCN6|Ensembl:ENSG00000011021|HGNC:CLCN6;NPPA|Ensembl:ENSG00000175206|HGNC:NPPA;NPPB|Ensembl:ENSG00000120937|HGNC:NPPB;KIAA2013|Ensembl:ENSG00000116685|HGNC:KIAA2013;PLOD1|Ensembl:ENSG00000083444|HGNC:PLOD1;MFN2|Ensembl:ENSG00000116688|HGNC:MFN2;MIIP|Ensembl:ENSG00000116691|HGNC:MIIP
13|chr1|12250000|12700000,VPS13D|Ensembl:ENSG00000048707|HGNC:VPS13D;DHRS3|Ensembl:ENSG00000162496|HGNC:DHRS3;AADACL4|Ensembl:ENSG00000204518|HGNC:AADACL4
14|chr1|13450000|15500000,LRRC38|Ensembl:ENSG00000162494|HGNC:LRRC38;PDPN|Ensembl:ENSG00000162493|HGNC:PDPN;PRDM2|Ensembl:ENSG00000116731|HGNC:PRDM2;KAZN|Ensembl:ENSG00000189337|HGNC:KAZN;TMEM51|Ensembl:ENSG00000171729|HGNC:TMEM51;FHAD1|Ensembl:ENSG00000142621|HGNC:FHAD1;EFHD2|Ensembl:ENSG00000142634|HGNC:EFHD2;CTRC|Ensembl:ENSG00000162438|HGNC:CTRC;CELA2A|Ensembl:ENSG00000142615|HGNC:CELA2A;CELA2B|Ensembl:ENSG00000215704|HGNC:CELA2B;CASP9|Ensembl:ENSG00000132906|HGNC:CASP9
15|chr1|15550000|16500000,DNAJC16|Ensembl:ENSG00000116138|HGNC:DNAJC16;AGMAT|Ensembl:ENSG00000116771|HGNC:AGMAT;DDI2|Ensembl:ENSG00000197312|HGNC:DDI2;RSC1A1|Ensembl:ENSG00000215695|HGNC:RSC1A1;PLEKHM2|Ensembl:ENSG00000116786|HGNC:PLEKHM2;SLC25A34|Ensembl:ENSG00000162461|HGNC:SLC25A34;TMEM82|Ensembl:ENSG00000162460|HGNC:TMEM82;FBLIM1|Ensembl:ENSG00000162458|HGNC:FBLIM1;UQCRHL|Ensembl:ENSG00000233954|HGNC:UQCRHL;SPEN|Ensembl:ENSG00000065526|HGNC:SPEN;ZBTB17|Ensembl:ENSG00000116809|HGNC:ZBTB17;SRARP|Ensembl:ENSG00000183888|HGNC:SRARP;HSPB7|Ensembl:ENSG00000173641|HGNC:HSPB7;CLCNKA|Ensembl:ENSG00000186510|HGNC:CLCNKA;CLCNKB|Ensembl:ENSG00000184908|HGNC:CLCNKB;FAM131C|Ensembl:ENSG00000185519|HGNC:FAM131C;EPHA2|Ensembl:ENSG00000142627|HGNC:EPHA2;ARHGEF19|Ensembl:ENSG00000142632|HGNC:ARHGEF19;CPLANE2|Ensembl:ENSG00000132881|HGNC:CPLANE2;FBXO42|Ensembl:ENSG00000037637|HGNC:FBXO42;SZRD1|Ensembl:ENSG00000055070|HGNC:SZRD1;SPATA21|Ensembl:ENSG00000187144|HGNC:SPATA21;NECAP2|Ensembl:ENSG00000157191|HGNC:NECAP2
16|chr1|17050000|17400000,SDHB|Ensembl:ENSG00000117118|HGNC:SDHB;PADI2|Ensembl:ENSG00000117115|HGNC:PADI2;PADI1|Ensembl:ENSG00000142623|HGNC:PADI1;PADI3|Ensembl:ENSG00000142619|HGNC:PADI3;PADI4|Ensembl:ENSG00000159339|HGNC:PADI4;PADI6|Ensembl:ENSG00000276747|HGNC:PADI6
17|chr1|17450000|18850000,ARHGEF10L|Ensembl:ENSG00000074964|HGNC:ARHGEF10L;ACTL8|Ensembl:ENSG00000117148|HGNC:ACTL8;IGSF21|Ensembl:ENSG00000117154|HGNC:IGSF21;KLHDC7A|Ensembl:ENSG00000179023|HGNC:KLHDC7A;PAX7|Ensembl:ENSG00000009709|HGNC:PAX7;TAS1R2|Ensembl:ENSG00000179002|HGNC:TAS1R2
18|chr1|18900000|19250000,ALDH4A1|Ensembl:ENSG00000159423|HGNC:ALDH4A1;IFFO2|Ensembl:ENSG00000169991|HGNC:IFFO2;UBR4|Ensembl:ENSG00000127481|HGNC:UBR4;EMC1|Ensembl:ENSG00000127463|HGNC:EMC1
19|chr1|19250000|19700000,EMC1|Ensembl:ENSG00000127463|HGNC:EMC1;MRTO4|Ensembl:ENSG00000053372|HGNC:MRTO4;AKR7A3|Ensembl:ENSG00000162482|HGNC:AKR7A3;AKR7A2|Ensembl:ENSG00000053371|HGNC:AKR7A2;SLC66A1|Ensembl:ENSG00000040487|HGNC:SLC66A1;CAPZB|Ensembl:ENSG00000077549|HGNC:CAPZB;MICOS10|Ensembl:ENSG00000173436|HGNC:MICOS10;NBL1|Ensembl:ENSG00000158747|HGNC:NBL1;MICOS10-NBL1|Ensembl:ENSG00000270136|HGNC:MICOS10-NBL1;HTR6|Ensembl:ENSG00000158748|HGNC:HTR6;TMCO4|Ensembl:ENSG00000162542|HGNC:TMCO4
20|chr1|19700000|19900000,TMCO4|Ensembl:ENSG00000162542|HGNC:TMCO4;RNF186|Ensembl:ENSG00000178828|HGNC:RNF186;OTUD3|Ensembl:ENSG00000169914|HGNC:OTUD3
21|chr1|19900000|20700000,OTUD3|Ensembl:ENSG00000169914|HGNC:OTUD3;PLA2G2E|Ensembl:ENSG00000188784|HGNC:PLA2G2E;PLA2G2A|Ensembl:ENSG00000188257|HGNC:PLA2G2A;PLA2G5|Ensembl:ENSG00000127472|HGNC:PLA2G5;PLA2G2D|Ensembl:ENSG00000117215|HGNC:PLA2G2D;PLA2G2F|Ensembl:ENSG00000158786|HGNC:PLA2G2F;PLA2G2C|Ensembl:ENSG00000187980|HGNC:PLA2G2C;UBXN10|Ensembl:ENSG00000162543|HGNC:UBXN10;VWA5B1|Ensembl:ENSG00000158816|HGNC:VWA5B1;CAMK2N1|Ensembl:ENSG00000162545|HGNC:CAMK2N1;MUL1|Ensembl:ENSG00000090432|HGNC:MUL1;FAM43B|Ensembl:ENSG00000183114|HGNC:FAM43B;CDA|Ensembl:ENSG00000158825|HGNC:CDA;PINK1|Ensembl:ENSG00000158828|HGNC:PINK1;DDOST|Ensembl:ENSG00000244038|HGNC:DDOST;KIF17|Ensembl:ENSG00000117245|HGNC:KIF17
22|chr1|20700000|21200000,KIF17|Ensembl:ENSG00000117245|HGNC:KIF17;SH2D5|Ensembl:ENSG00000189410|HGNC:SH2D5;HP1BP3|Ensembl:ENSG00000127483|HGNC:HP1BP3;EIF4G3|Ensembl:ENSG00000075151|HGNC:EIF4G3
23|chr1|21250000|21700000,ECE1|Ensembl:ENSG00000117298|HGNC:ECE1;NBPF3|Ensembl:ENSG00000142794|HGNC:NBPF3;ALPL|Ensembl:ENSG00000162551|HGNC:ALPL;RAP1GAP|Ensembl:ENSG00000076864|HGNC:RAP1GAP;USP48|Ensembl:ENSG00000090686|HGNC:USP48
24|chr1|21700000|22050000,USP48|Ensembl:ENSG00000090686|HGNC:USP48;LDLRAD2|Ensembl:ENSG00000187942|HGNC:LDLRAD2;HSPG2|Ensembl:ENSG00000142798|HGNC:HSPG2;CELA3B|Ensembl:ENSG00000219073|HGNC:CELA3B;CELA3A|Ensembl:ENSG00000142789|HGNC:CELA3A;CDC42|Ensembl:ENSG00000070831|HGNC:CDC42
25|chr1|22100000|22700000,CDC42|Ensembl:ENSG00000070831|HGNC:CDC42;WNT4|Ensembl:ENSG00000162552|HGNC:WNT4;ZBTB40|Ensembl:ENSG00000184677|HGNC:ZBTB40;EPHA8|Ensembl:ENSG00000070886|HGNC:EPHA8;C1QA|Ensembl:ENSG00000173372|HGNC:C1QA;C1QC|Ensembl:ENSG00000159189|HGNC:C1QC;C1QB|Ensembl:ENSG00000173369|HGNC:C1QB
26|chr1|22700000|22950000,EPHB2|Ensembl:ENSG00000133216|HGNC:EPHB2
27|chr1|23000000|23800000,TEX46|Ensembl:ENSG00000227868|HGNC:TEX46;KDM1A|Ensembl:ENSG00000004487|HGNC:KDM1A;LUZP1|Ensembl:ENSG00000169641|HGNC:LUZP1;HTR1D|Ensembl:ENSG00000179546|HGNC:HTR1D;HNRNPR|Ensembl:ENSG00000125944|HGNC:HNRNPR;ZNF436|Ensembl:ENSG00000125945|HGNC:ZNF436;TCEA3|Ensembl:ENSG00000204219|HGNC:TCEA3;ASAP3|Ensembl:ENSG00000088280|HGNC:ASAP3;E2F2|Ensembl:ENSG00000007968|HGNC:E2F2;ID3|Ensembl:ENSG00000117318|HGNC:ID3;RPL11|Ensembl:ENSG00000142676|HGNC:RPL11;ELOA|Ensembl:ENSG00000011007|HGNC:ELOA;PITHD1|Ensembl:ENSG00000057757|HGNC:PITHD1;LYPLA2|Ensembl:ENSG00000011009|HGNC:LYPLA2;GALE|Ensembl:ENSG00000117308|HGNC:GALE
28|chr1|23800000|24050000,GALE|Ensembl:ENSG00000117308|HGNC:GALE;HMGCL|Ensembl:ENSG00000117305|HGNC:HMGCL;FUCA1|Ensembl:ENSG00000179163|HGNC:FUCA1;CNR2|Ensembl:ENSG00000188822|HGNC:CNR2;PNRC2|Ensembl:ENSG00000189266|HGNC:PNRC2;SRSF10|Ensembl:ENSG00000188529|HGNC:SRSF10
29|chr1|24050000|24450000,MYOM3|Ensembl:ENSG00000142661|HGNC:MYOM3;IL22RA1|Ensembl:ENSG00000142677|HGNC:IL22RA1;IFNLR1|Ensembl:ENSG00000185436|HGNC:IFNLR1;GRHL3|Ensembl:ENSG00000158055|HGNC:GRHL3;STPG1|Ensembl:ENSG00000001460|HGNC:STPG1;NIPAL3|Ensembl:ENSG00000001461|HGNC:NIPAL3
30|chr1|24450000|24650000,NIPAL3|Ensembl:ENSG00000001461|HGNC:NIPAL3;RCAN3|Ensembl:ENSG00000117602|HGNC:RCAN3;NCMAP|Ensembl:ENSG00000184454|HGNC:NCMAP;SRRM1|Ensembl:ENSG00000133226|HGNC:SRRM1
31|chr1|24650000|24900000,SRRM1|Ensembl:ENSG00000133226|HGNC:SRRM1;CLIC4|Ensembl:ENSG00000169504|HGNC:CLIC4;RUNX3|Ensembl:ENSG00000020633|HGNC:RUNX3
32|chr1|24900000|25250000,RUNX3|Ensembl:ENSG00000020633|HGNC:RUNX3;SYF2|Ensembl:ENSG00000117614|HGNC:SYF2;RSRP1|Ensembl:ENSG00000117616|HGNC:RSRP1
33|chr1|25250000|25850000,RSRP1|Ensembl:ENSG00000117616|HGNC:RSRP1;RHD|Ensembl:ENSG00000187010|HGNC:RHD;TMEM50A|Ensembl:ENSG00000183726|HGNC:TMEM50A;RHCE|Ensembl:ENSG00000188672|HGNC:RHCE;MACO1|Ensembl:ENSG00000204178|HGNC:MACO1;LDLRAP1|Ensembl:ENSG00000157978|HGNC:LDLRAP1;MAN1C1|Ensembl:ENSG00000117643|HGNC:MAN1C1;SELENON|Ensembl:ENSG00000162430|HGNC:SELENON;MTFR1L|Ensembl:ENSG00000117640|HGNC:MTFR1L;AUNIP|Ensembl:ENSG00000127423|HGNC:AUNIP
34|chr1|25850000|26450000,AUNIP|Ensembl:ENSG00000127423|HGNC:AUNIP;PAQR7|Ensembl:ENSG00000182749|HGNC:PAQR7;STMN1|Ensembl:ENSG00000117632|HGNC:STMN1;PAFAH2|Ensembl:ENSG00000158006|HGNC:PAFAH2;EXTL1|Ensembl:ENSG00000158008|HGNC:EXTL1;SLC30A2|Ensembl:ENSG00000158014|HGNC:SLC30A2;TRIM63|Ensembl:ENSG00000158022|HGNC:TRIM63;PDIK1L|Ensembl:ENSG00000175087|HGNC:PDIK1L;FAM110D|Ensembl:ENSG00000197245|HGNC:FAM110D;C1orf232|Ensembl:ENSG00000282872|HGNC:C1orf232;ZNF593|Ensembl:ENSG00000142684|HGNC:ZNF593;CNKSR1|Ensembl:ENSG00000142675|HGNC:CNKSR1;CATSPER4|Ensembl:ENSG00000188782|HGNC:CATSPER4;CEP85|Ensembl:ENSG00000130695|HGNC:CEP85;SH3BGRL3|Ensembl:ENSG00000142669|HGNC:SH3BGRL3;UBXN11|Ensembl:ENSG00000158062|HGNC:UBXN11;CD52|Ensembl:ENSG00000169442|HGNC:CD52;CRYBG2|Ensembl:ENSG00000176092|HGNC:CRYBG2;ZNF683|Ensembl:ENSG00000176083|HGNC:ZNF683;LIN28A|Ensembl:ENSG00000131914|HGNC:LIN28A;DHDDS|Ensembl:ENSG00000117682|HGNC:DHDDS
35|chr1|26500000|26900000,RPS6KA1|Ensembl:ENSG00000117676|HGNC:RPS6KA1;ARID1A|Ensembl:ENSG00000117713|HGNC:ARID1A;PIGV|Ensembl:ENSG00000060642|HGNC:PIGV;ZDHHC18|Ensembl:ENSG00000204160|HGNC:ZDHHC18;SFN|Ensembl:ENSG00000175793|HGNC:SFN;GPN2|Ensembl:ENSG00000142751|HGNC:GPN2;GPATCH3|Ensembl:ENSG00000198746|HGNC:GPATCH3
36|chr1|26950000|27750000,KDF1|Ensembl:ENSG00000175707|HGNC:KDF1;TRNP1|Ensembl:ENSG00000253368|HGNC:TRNP1;TENT5B|Ensembl:ENSG00000158246|HGNC:TENT5B;SLC9A1|Ensembl:ENSG00000090020|HGNC:SLC9A1;WDTC1|Ensembl:ENSG00000142784|HGNC:WDTC1;TMEM222|Ensembl:ENSG00000186501|HGNC:TMEM222;SYTL1|Ensembl:ENSG00000142765|HGNC:SYTL1;MAP3K6|Ensembl:ENSG00000142733|HGNC:MAP3K6;FCN3|Ensembl:ENSG00000142748|HGNC:FCN3;CD164L2|Ensembl:ENSG00000174950|HGNC:CD164L2;GPR3|Ensembl:ENSG00000181773|HGNC:GPR3;WASF2|Ensembl:ENSG00000158195|HGNC:WASF2;AHDC1|Ensembl:ENSG00000126705|HGNC:AHDC1;FGR|Ensembl:ENSG00000000938|HGNC:FGR;IFI6|Ensembl:ENSG00000126709|HGNC:IFI6;FAM76A|Ensembl:ENSG00000009780|HGNC:FAM76A
37|chr1|27850000|28800000,PPP1R8|Ensembl:ENSG00000117751|HGNC:PPP1R8;THEMIS2|Ensembl:ENSG00000130775|HGNC:THEMIS2;RPA2|Ensembl:ENSG00000117748|HGNC:RPA2;SMPDL3B|Ensembl:ENSG00000130768|HGNC:SMPDL3B;XKR8|Ensembl:ENSG00000158156|HGNC:XKR8;EYA3|Ensembl:ENSG00000158161|HGNC:EYA3;PTAFR|Ensembl:ENSG00000169403|HGNC:PTAFR;DNAJC8|Ensembl:ENSG00000126698|HGNC:DNAJC8;ATP5IF1|Ensembl:ENSG00000130770|HGNC:ATP5IF1;SESN2|Ensembl:ENSG00000130766|HGNC:SESN2;MED18|Ensembl:ENSG00000130772|HGNC:MED18;PHACTR4|Ensembl:ENSG00000204138|HGNC:PHACTR4;RCC1|Ensembl:ENSG00000180198|HGNC:RCC1;TRNAU1AP|Ensembl:ENSG00000180098|HGNC:TRNAU1AP;TAF12|Ensembl:ENSG00000120656|HGNC:TAF12;RAB42|Ensembl:ENSG00000188060|HGNC:RAB42;GMEB1|Ensembl:ENSG00000162419|HGNC:GMEB1;YTHDF2|Ensembl:ENSG00000198492|HGNC:YTHDF2
38|chr1|28800000|29200000,OPRD1|Ensembl:ENSG00000116329|HGNC:OPRD1;EPB41|Ensembl:ENSG00000159023|HGNC:EPB41;TMEM200B|Ensembl:ENSG00000253304|HGNC:TMEM200B;SRSF4|Ensembl:ENSG00000116350|HGNC:SRSF4;MECR|Ensembl:ENSG00000116353|HGNC:MECR
39|chr1|30750000|30950000,LAPTM5|Ensembl:ENSG00000162511|HGNC:LAPTM5;SDC3|Ensembl:ENSG00000162512|HGNC:SDC3;PUM1|Ensembl:ENSG00000134644|HGNC:PUM1
40|chr1|30950000|31650000,PUM1|Ensembl:ENSG00000134644|HGNC:PUM1;NKAIN1|Ensembl:ENSG00000084628|HGNC:NKAIN1;SNRNP40|Ensembl:ENSG00000060688|HGNC:SNRNP40;ZCCHC17|Ensembl:ENSG00000121766|HGNC:ZCCHC17;FABP3|Ensembl:ENSG00000121769|HGNC:FABP3;SERINC2|Ensembl:ENSG00000168528|HGNC:SERINC2;TINAGL1|Ensembl:ENSG00000142910|HGNC:TINAGL1;HCRTR1|Ensembl:ENSG00000121764|HGNC:HCRTR1;PEF1|Ensembl:ENSG00000162517|HGNC:PEF1
41|chr1|31650000|32200000,COL16A1|Ensembl:ENSG00000084636|HGNC:COL16A1;ADGRB2|Ensembl:ENSG00000121753|HGNC:ADGRB2;SPOCD1|Ensembl:ENSG00000134668|HGNC:SPOCD1;PTP4A2|Ensembl:ENSG00000184007|HGNC:PTP4A2;KHDRBS1|Ensembl:ENSG00000121774|HGNC:KHDRBS1;TMEM39B|Ensembl:ENSG00000121775|HGNC:TMEM39B;KPNA6|Ensembl:ENSG00000025800|HGNC:KPNA6;TXLNA|Ensembl:ENSG00000084652|HGNC:TXLNA
42|chr1|32200000|32450000,CCDC28B|Ensembl:ENSG00000160050|HGNC:CCDC28B;IQCC|Ensembl:ENSG00000160051|HGNC:IQCC;DCDC2B|Ensembl:ENSG00000222046|HGNC:DCDC2B;TMEM234|Ensembl:ENSG00000160055|HGNC:TMEM234;EIF3I|Ensembl:ENSG00000084623|HGNC:EIF3I;FAM167B|Ensembl:ENSG00000183615|HGNC:FAM167B;LCK|Ensembl:ENSG00000182866|HGNC:LCK;HDAC1|Ensembl:ENSG00000116478|HGNC:HDAC1;MARCKSL1|Ensembl:ENSG00000175130|HGNC:MARCKSL1;TSSK3|Ensembl:ENSG00000162526|HGNC:TSSK3;FAM229A|Ensembl:ENSG00000225828|HGNC:FAM229A;BSDC1|Ensembl:ENSG00000160058|HGNC:BSDC1
43|chr1|32450000|32900000,ZBTB8B|Ensembl:ENSG00000273274|HGNC:ZBTB8B;ZBTB8A|Ensembl:ENSG00000160062|HGNC:ZBTB8A;ZBTB8OS|Ensembl:ENSG00000176261|HGNC:ZBTB8OS;RBBP4|Ensembl:ENSG00000162521|HGNC:RBBP4;SYNC|Ensembl:ENSG00000162520|HGNC:SYNC;KIAA1522|Ensembl:ENSG00000162522|HGNC:KIAA1522;YARS1|Ensembl:ENSG00000134684|HGNC:YARS1;S100PBP|Ensembl:ENSG00000116497|HGNC:S100PBP;FNDC5|Ensembl:ENSG00000160097|HGNC:FNDC5;HPCA|Ensembl:ENSG00000121905|HGNC:HPCA;TMEM54|Ensembl:ENSG00000121900|HGNC:TMEM54
